,reward,test_name,model
0,"(15.0816, 0.8177)",drop3,supervised
1,"(6.3903, 1.0418)",miniAMR,supervised
2,"(3.3638, 0.0906)",mst,supervised
3,"(5.7194, 12.7911)",Searching-flt,supervised
4,"(5.7523, 15.3941)",Symbolics-dbl,supervised
5,"(5.6427, 1.5749)",ecbdes,supervised
6,"(5.7798, 12.6085)",GlobalDataFlow-dbl,supervised
7,"(1.6362, 0.0843)",bintr,supervised
8,"(5.754, 8.8779)",ControlFlow-dbl,supervised
9,"(0.7289, 1.3956)",treeadd,supervised
10,"(6.4658, 0.9398)",miniGMG,supervised
11,"(5.7025, 1.9339)",beamformer,supervised
12,"(7.0423, 0.6413)",espresso,supervised
13,"(1.3942, 9.2872)",8b10b,supervised
14,"(5.6489, 13.6324)",Packing-dbl,supervised
15,"(5.5764, 8.8209)",LinearDependence-flt,supervised
16,"(5.5664, 3.2227)",StatementReordering-dbl,supervised
17,"(5.5686, 0.0476)",ocean,supervised
18,"(6.0966, 0.9833)",enc-3des,supervised
19,"(5.6713, 11.981)",Packing-dbl,supervised
20,"(2.3855, 0.7144)",bisort,supervised
21,"(5.5775, 4.3885)",Recurrences-flt,supervised
22,"(5.9887, 0.0367)",security-rijndael,supervised
23,"(2.0806, 0.3162)",iotest,supervised
24,"(1.4274, 3.3636)",llu,supervised
25,"(3.4119, 8.6059)",CrystalMk,supervised
26,"(5.7005, 6.8608)",sim,supervised
27,"(5.7589, 0.0801)",analyzer,supervised
28,"(4.4043, 9.8336)",em3d,supervised
29,"(5.5904, 8.3709)",NodeSplitting-flt,supervised
30,"(5.8982, 3.5486)",CoMD,supervised
31,"(5.8149, 12.0576)",Packing-flt,supervised
32,"(2.2167, 0.6658)",bisort,supervised
33,"(2.6586, 0.0321)",security-sha,supervised
34,"(5.8329, 0.0358)",gnugo,supervised
35,"(5.6892, 4.2002)",Recurrences-dbl,supervised
36,"(5.602, 8.6459)",Reductions-flt,supervised
37,"(5.7728, 8.9512)",GlobalDataFlow-dbl,supervised
38,"(1.7334, 1.0304)",pathfinder,supervised
39,"(5.9221, 5.6363)",HACCKernels,supervised
40,"(5.6266, 6.9091)",Reductions-dbl,supervised
41,"(4.6329, 0.0397)",telecomm-fft,supervised
42,"(3.0974, 0.3603)",perimeter,supervised
43,"(15.1168, 0.1729)",consumer-typeset,supervised
44,"(5.7717, 4.7652)",Recurrences-flt,supervised
45,"(5.7722, 2.3513)",IRSmk,supervised
46,"(5.8035, 3.0729)",StatementReordering-dbl,supervised
47,"(6.1704, 2.9104)",LoopRestructuring-flt,supervised
48,"(1.2481, 0.0668)",network-dijkstra,supervised
49,"(7.0245, 7.6753)",miniFE,supervised
50,"(11.8984, 9.9584)",tramp3d-v4,supervised
51,"(2.5523, 0.0318)",security-sha,supervised
52,"(2.1838, 0.6735)",bisort,supervised
53,"(3.793, 1.1843)",life,supervised
54,"(6.0935, 11.8071)",InductionVariable-dbl,supervised
55,"(6.0858, 4.2386)",Expansion-dbl,supervised
56,"(5.668, 4.25)",Equivalencing-flt,supervised
57,"(4.5912, 0.0321)",telecomm-fft,supervised
58,"(5.8515, 13.7146)",Packing-dbl,supervised
59,"(5.5287, 3.0464)",StatementReordering-flt,supervised
60,"(5.6065, 4.1045)",Recurrences-dbl,supervised
61,"(5.6849, 0.8298)",fourinarow,supervised
62,"(5.8751, 4.0377)",LoopRestructuring-dbl,supervised
63,,,supervised
64,,,supervised
65,"(33.2456, 18.6029)",halide_blur,supervised
66,"(6.0402, 7.6202)",Reductions-flt,supervised
67,"(5.9806, 9.2859)",ControlLoops-dbl,supervised
68,"(0.8574, 0.9241)",netbench-crc,supervised
69,"(1.4225, 3.3748)",llu,supervised
70,"(5.789, 2.6385)",XSBench,supervised
71,"(5.6712, 8.9732)",ControlLoops-dbl,supervised
72,"(4.7837, 0.0301)",telecomm-fft,supervised
73,"(5.7564, 13.5141)",Packing-flt,supervised
74,"(6.7349, 9.4755)",miniFE,supervised
75,"(4.0647, 0.0673)",network-patricia,supervised
76,"(2.9119, 0.7638)",drop3,supervised
77,"(4.7669, 0.0317)",telecomm-fft,supervised
78,"(5.6769, 5.5153)",ControlLoops-dbl,supervised
79,"(5.6077, 0.8379)",fourinarow,supervised
80,"(3.3826, 9.0042)",CrystalMk,supervised
81,"(2.9867, 0.1984)",automotive-basicmath,supervised
82,"(4.8801, 0.2517)",neural,supervised
83,"(5.7563, 11.1613)",LoopRerolling-flt,supervised
84,"(6.2127, 1.7628)",HPCCG,supervised
85,"(6.0366, 4.3792)",Recurrences-flt,supervised
86,"(1.2678, 0.0563)",network-dijkstra,supervised
87,"(5.7355, 0.9935)",enc-3des,supervised
88,"(1.7249, 0.2621)",telecomm-adpcm,supervised
89,"(33.2456, 18.3954)",halide_blur,supervised
90,"(1.7666, 1.0784)",pathfinder,supervised
91,"(4.6821, 0.7111)",hotspot,supervised
92,"(5.9083, 6.0436)",HACCKernels,supervised
93,"(5.8996, 4.4372)",Equivalencing-flt,supervised
94,"(2.3076, 5.9078)",is,supervised
95,"(5.9226, 3.8457)",LinearDependence-flt,supervised
96,"(5.5189, 5.9788)",ControlLoops-dbl,supervised
97,"(5.8835, 1.5175)",ecbdes,supervised
98,"(5.6358, 5.8634)",GlobalDataFlow-flt,supervised
99,"(2.9449, 0.1927)",automotive-basicmath,supervised
100,"(6.054, 2.9631)",SimpleMOC,supervised
101,"(5.8552, 7.555)",IndirectAddressing-flt,supervised
102,"(2.289, 0.1027)",bisect,supervised
103,"(1.3355, 0.0575)",network-dijkstra,supervised
104,"(3.7253, 8.035)",CrystalMk,supervised
105,"(5.9369, 7.7374)",ControlLoops-flt,supervised
106,"(5.8553, 3.6359)",CoMD,supervised
107,"(5.7307, 12.7536)",Searching-dbl,supervised
108,"(5.5533, 3.1687)",StatementReordering-dbl,supervised
109,"(3.922, 1.0745)",tsp,supervised
110,"(1.0875, 1.7645)",enc-rc4,supervised
111,"(1.0663, 2.6538)",enc-rc4,supervised
112,"(5.7481, 7.6624)",LinearDependence-flt,supervised
113,"(5.2942, 0.8484)",ft,supervised
114,"(1.8379, 1.6428)",five11,supervised
115,"(5.5979, 0.0722)",gnugo,supervised
116,"(5.7751, 4.0574)",Recurrences-flt,supervised
117,"(0.7848, 0.2313)",telecomm-CRC32,supervised
118,"(5.709, 11.7221)",ControlLoops-flt,supervised
119,"(5.4785, 8.1592)",StatementReordering-dbl,supervised
120,"(1.6403, 0.2569)",telecomm-adpcm,supervised
121,"(5.5972, 0.1447)",pcompress2,supervised
122,"(5.9971, 0.7955)",fourinarow,supervised
123,"(3.5195, 8.2653)",CrystalMk,supervised
124,"(5.8602, 4.0835)",Recurrences-dbl,supervised
125,"(5.7957, 0.401)",rsbench,supervised
126,"(5.7456, 0.0739)",analyzer,supervised
127,"(4.8685, 0.1856)",neural,supervised
128,"(5.8839, 8.0156)",IndirectAddressing-flt,supervised
129,"(6.1984, 0.0937)",automotive-susan,supervised
130,"(5.7919, 13.5326)",Packing-flt,supervised
131,"(4.6555, 0.0316)",telecomm-fft,supervised
132,"(1.2283, 0.0428)",network-dijkstra,supervised
133,"(5.6855, 1.0886)",enc-md5,supervised
134,"(2.3998, 0.7398)",bisort,supervised
135,"(3.5379, 8.347)",CrystalMk,supervised
136,"(5.9639, 7.8058)",LinearDependence-flt,supervised
137,"(5.9422, 4.8054)",LoopRerolling-dbl,supervised
138,"(5.9425, 3.2647)",NodeSplitting-flt,supervised
139,"(3.0122, 0.3293)",perimeter,supervised
140,"(6.2255, 5.7609)",GlobalDataFlow-flt,supervised
141,"(4.2512, 6.775)",em3d,supervised
142,"(1.2014, 3.5363)",bmm,supervised
143,"(1.2363, 0.0567)",network-dijkstra,supervised
144,"(1.5669, 0.2503)",uudecode,supervised
145,"(5.4301, 6.3824)",Expansion-dbl,supervised
146,"(5.5557, 7.2599)",Symbolics-flt,supervised
147,"(5.9042, 1.4938)",beamformer,supervised
148,"(5.6972, 4.2887)",Recurrences-dbl,supervised
149,"(15.8808, 0.1663)",consumer-typeset,supervised
150,"(6.1252, 0.161)",vor,supervised
151,"(2.82, 0.1992)",automotive-basicmath,supervised
152,"(5.7989, 3.3445)",NodeSplitting-dbl,supervised
153,"(6.2654, 12.8076)",Packing-dbl,supervised
154,"(5.9282, 5.2794)",HACCKernels,supervised
155,"(2.8113, 0.1986)",automotive-basicmath,supervised
156,"(5.7104, 1.6032)",beamformer,supervised
157,"(5.6796, 6.8134)",sim,supervised
158,"(1.0913, 1.835)",enc-rc4,supervised
159,"(5.6663, 4.7161)",CrossingThresholds-dbl,supervised
160,"(1.2001, 2.8899)",bmm,supervised
161,"(5.6805, 12.7832)",Searching-flt,supervised
162,"(5.5996, 77.8793)",scimark2,supervised
163,"(3.6558, 1.2072)",life,supervised
164,"(5.963, 0.8996)",miniGMG,supervised
165,"(5.3596, 0.9157)",srad,supervised
166,"(5.6178, 9.6356)",ControlLoops-dbl,supervised
167,"(0.8013, 0.2492)",telecomm-CRC32,supervised
168,"(1.6218, 1.0502)",pathfinder,supervised
169,"(5.9549, 8.5972)",Reductions-dbl,supervised
170,"(5.764, 6.9526)",Reductions-dbl,supervised
171,"(5.7025, 0.1173)",vor,supervised
172,"(58.6182, 0.1573)",consumer-typeset,supervised
173,"(6.1205, 2.4236)",CoMD,supervised
174,"(5.8194, 4.8963)",NodeSplitting-flt,supervised
175,"(5.7391, 7.4471)",LinearDependence-dbl,supervised
176,"(6.0089, 2.9365)",PathFinder,supervised
177,"(5.8057, 1.3982)",beamformer,supervised
178,"(6.0979, 0.8989)",miniGMG,supervised
179,"(3.7257, 0.9993)",tsp,supervised
180,"(3.7286, 1.2165)",life,supervised
181,"(4.0205, 0.9862)",tsp,supervised
182,"(10.0666, 42.3065)",pairlocalalign,supervised
183,"(5.4784, 1.7539)",bh,supervised
184,"(5.8989, 4.6209)",StatementReordering-dbl,supervised
185,"(5.6958, 1.104)",power,supervised
186,"(3.8994, 1.7402)",anagram,supervised
187,"(5.5858, 4.0784)",Recurrences-dbl,supervised
188,"(5.7702, 6.3367)",ControlLoops-dbl,supervised
189,"(5.878, 1.0107)",enc-3des,supervised
190,"(5.5776, 6.3288)",CrossingThresholds-dbl,supervised
191,"(5.7696, 4.4513)",nbench,supervised
192,"(5.7861, 0.1072)",distray,supervised
193,"(5.7294, 4.0768)",Expansion-flt,supervised
194,"(4.1803, 0.0724)",network-patricia,supervised
195,"(5.6628, 0.8351)",fourinarow,supervised
196,"(5.9434, 5.2918)",LinearDependence-flt,supervised
197,"(5.5788, 1.6863)",beamformer,supervised
198,"(5.7723, 1.6298)",beamformer,supervised
199,"(5.0789, 1.6341)",fhourstones3.1,supervised
200,"(5.6324, 4.0663)",LoopRerolling-dbl,supervised
201,"(33.2456, 18.5089)",halide_blur,supervised
202,"(3.0414, 0.7488)",drop3,supervised
203,"(5.6325, 4.1541)",LoopRestructuring-dbl,supervised
204,"(5.9756, 11.8529)",Packing-dbl,supervised
205,"(6.2965, 0.8814)",miniGMG,supervised
206,"(0.8036, 0.1903)",primes,supervised
207,"(5.7931, 3.4834)",NodeSplitting-dbl,supervised
208,"(6.1048, 0.0475)",security-rijndael,supervised
209,"(1.5061, 0.2372)",uudecode,supervised
210,"(5.9252, 3.0519)",SimpleMOC,supervised
211,,,supervised
212,,,supervised
213,"(33.2284, 15.6246)",halide_blur,supervised
214,"(3.2939, 0.1048)",mst,supervised
215,"(0.8181, 0.9241)",netbench-crc,supervised
216,"(4.4047, 8.1156)",em3d,supervised
217,"(5.8239, 10.215)",ControlLoops-flt,supervised
218,"(5.9859, 9.6067)",ControlFlow-flt,supervised
219,"(0.8359, 1.3824)",treeadd,supervised
220,"(0.8573, 1.5109)",netbench-crc,supervised
221,"(3.0683, 0.818)",drop3,supervised
222,"(3.097, 0.7804)",drop3,supervised
223,"(5.9646, 4.7299)",CrossingThresholds-dbl,supervised
224,"(5.7895, 14.2216)",Packing-dbl,supervised
225,"(4.759, 0.2766)",neural,supervised
226,"(2.8874, 0.3618)",perimeter,supervised
227,"(5.7892, 9.9054)",Reductions-dbl,supervised
228,"(4.9838, 1.3702)",fhourstones3.1,supervised
229,"(5.8818, 4.106)",Recurrences-flt,supervised
230,"(5.8357, 0.1408)",pcompress2,supervised
231,"(2.9558, 0.1821)",automotive-basicmath,supervised
232,"(1.8839, 1.0121)",pathfinder,supervised
233,"(2.8222, 0.0367)",security-sha,supervised
234,"(3.4893, 8.7766)",CrystalMk,supervised
235,"(5.8471, 0.1166)",vor,supervised
236,"(1.6752, 1.0585)",pathfinder,supervised
237,"(6.2335, 0.914)",miniGMG,supervised
238,"(5.6833, 7.2216)",Symbolics-dbl,supervised
239,"(5.6414, 4.4022)",Expansion-flt,supervised
240,"(2.3225, 5.8572)",is,supervised
241,"(5.8666, 7.9217)",IndirectAddressing-flt,supervised
242,"(3.916, 0.0706)",network-patricia,supervised
243,"(5.7734, 0.9729)",power,supervised
244,"(5.8108, 2.3611)",XSBench,supervised
245,"(5.9321, 8.3818)",GlobalDataFlow-flt,supervised
246,"(2.7885, 0.1943)",mason,supervised
247,"(5.9208, 8.0613)",GlobalDataFlow-flt,supervised
248,"(5.5811, 12.0999)",Reductions-flt,supervised
249,"(5.9822, 5.2535)",Equivalencing-flt,supervised
250,"(6.1707, 11.4999)",Searching-dbl,supervised
251,"(5.1131, 1.1474)",ft,supervised
252,"(5.962, 4.5365)",LinearDependence-flt,supervised
253,"(5.7078, 1.6817)",bh,supervised
254,"(7.0433, 0.5547)",espresso,supervised
255,"(6.0687, 11.6367)",InductionVariable-flt,supervised
256,"(3.3204, 1.0376)",enc-pc1,supervised
257,"(5.943, 1.5116)",beamformer,supervised
258,"(4.7125, 0.2015)",neural,supervised
259,"(1.8585, 1.7242)",five11,supervised
260,"(3.3264, 0.1343)",mst,supervised
261,"(11.9636, 14.8057)",tramp3d-v4,supervised
262,"(6.1272, 0.6011)",bc,supervised
263,"(5.9554, 0.1245)",vor,supervised
264,"(5.8853, 14.6719)",Symbolics-dbl,supervised
265,"(5.6987, 0.1186)",vor,supervised
266,"(5.8477, 4.7946)",StatementReordering-dbl,supervised
267,"(5.7496, 6.353)",Expansion-flt,supervised
268,"(5.3206, 0.7991)",ft,supervised
269,"(5.7779, 0.2012)",voronoi,supervised
270,"(5.7619, 9.1613)",InductionVariable-flt,supervised
271,"(5.8314, 12.8475)",Searching-flt,supervised
272,"(5.8796, 4.8259)",LoopRerolling-dbl,supervised
273,"(5.7707, 0.8077)",fourinarow,supervised
274,"(5.6082, 4.3443)",Recurrences-dbl,supervised
275,"(4.022, 1.6901)",anagram,supervised
276,"(5.801, 3.0126)",StatementReordering-flt,supervised
277,"(5.7728, 4.1547)",Recurrences-dbl,supervised
278,"(5.7163, 1.2189)",dbms,supervised
279,"(5.7964, 14.2851)",Packing-dbl,supervised
280,"(5.6766, 1.4575)",enc-md5,supervised
281,"(6.0748, 1.3757)",enc-md5,supervised
282,"(2.3836, 0.0461)",qbsort,supervised
283,"(4.7626, 0.3856)",hotspot,supervised
284,"(7.7733, 0.0515)",gs,supervised
285,"(5.9834, 1.1391)",dbms,supervised
286,"(5.6261, 7.2499)",Symbolics-flt,supervised
287,"(5.7072, 5.388)",LinearDependence-dbl,supervised
288,"(5.7987, 11.4033)",ControlFlow-dbl,supervised
289,"(1.3458, 8.8498)",8b10b,supervised
290,"(3.9928, 0.2229)",health,supervised
291,"(1.7456, 0.0852)",bintr,supervised
292,"(5.8957, 3.1208)",SimpleMOC,supervised
293,"(5.875, 5.3318)",LinearDependence-dbl,supervised
294,"(5.7595, 8.7673)",InductionVariable-dbl,supervised
295,"(5.8353, 0.1446)",pcompress2,supervised
296,"(1.5001, 2.9697)",llu,supervised
297,"(5.8334, 4.4994)",Equivalencing-dbl,supervised
298,"(5.8248, 0.1268)",vor,supervised
299,"(33.2284, 15.5129)",halide_blur,supervised
